variant,method_name,mask,score,loc_ap_n_mean,loc_ap_n_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac,loc_ap_mean,loc_ap_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std
conditional,known_law_oracle,random2:1-2,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random2:1-2,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random2:1-2,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random2:1-2,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random3:1-2-3,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random3:1-2-3,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random3:1-2-3,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random3:1-2-3,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,random3:1-2-3,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,single_sensor_0,conditional_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,single_sensor_0,independent,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,single_sensor_0,joint,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,single_sensor_0,marginal_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional,known_law_oracle,single_sensor_0,relational_max,,,,,,,,,,,,,3,"[11, 12, 13]",,,,,,,,
conditional_nll_selection,circuit,bank0:0-1,conditional_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,bank0:0-1,independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,bank0:0-1,joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,bank0:0-1,marginal_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,bank0:0-1,relational_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,full,conditional_max,200.0,0.0,0.09333333333333332,0.024664414311581236,0.0,0.0,174.66666666666666,10.263202878893768,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.63625,0.01964529205687712,0.4366666666666667,0.022546248764114492
conditional_nll_selection,circuit,full,independent,200.0,0.0,0.005,0.005,0.0,0.0,194.0,5.291502622129181,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.5466666666666665,0.0130968613712514,0.33666666666666667,0.015275252316519456
conditional_nll_selection,circuit,full,joint,200.0,0.0,0.03,0.01802775637731995,0.0,0.0,186.66666666666666,11.372481406154654,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.63625,0.01964529205687712,0.4366666666666667,0.022546248764114492
conditional_nll_selection,circuit,full,marginal_max,200.0,0.0,0.018333333333333333,0.015275252316519468,0.0,0.0,190.33333333333334,8.32666399786453,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.5466666666666665,0.0130968613712514,0.33666666666666667,0.015275252316519456
conditional_nll_selection,circuit,full,relational_max,200.0,0.0,0.26499999999999996,0.04330127018922194,0.0,0.0,134.33333333333334,12.503332889007368,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.7040277777777778,0.0188990985479711,0.5233333333333333,0.038188130791298645
conditional_nll_selection,circuit,random1:0,conditional_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,random1:0,independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,random1:0,joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,random1:0,marginal_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,random1:0,relational_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,,,,
conditional_nll_selection,circuit,random2:1-2,conditional_max,200.0,0.0,0.09666666666666668,0.017559422921421233,0.0,0.0,161.0,4.58257569495584,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",0.0,0.0,0.0,0.0,0.7416666666666667,0.01233220715579061,0.4833333333333334,0.02466441431158123
